genus,species,reference_no,subfamily,Tribe,Genus,Fossil,min_ma,max_ma,Notes
Ponerites,umbrus,44457,Ponerinae,None,Ponerites,Yes,11.608,15.97,Note
Poneropsis,crassinervis,37344,Ponerinae,None,Poneropsis,Yes,12.7,13.65,Note
Poneropsis,escheri,38709,Ponerinae,None,Poneropsis,Yes,11.608,12.7,Note
Poneropsis,fuliginosa,37344,Ponerinae,None,Poneropsis,Yes,11.608,12.7,Note
Poneropsis,globosa,37344,Ponerinae,None,Poneropsis,Yes,11.608,12.7,Note
Poneropsis,longaeva,37344,Ponerinae,None,Poneropsis,Yes,11.608,12.7,Note
Poneropsis,rhenana,44626,Ponerinae,None,Poneropsis,Yes,23.03,28.4,Note
Poneropsis,stygia,38709,Ponerinae,None,Poneropsis,Yes,11.608,12.7,Note
Poneropsis,veneraria,47508,Ponerinae,None,Poneropsis,Yes,11.608,12.7,Note
Poneropsis,ventrosa,37344,Ponerinae,None,Poneropsis,Yes,11.608,12.7,Note
Protopone,dubia,43781,Ponerinae,None,Protopone,Yes,40.4,48.6,Note
Protopone,germanica,43781,Ponerinae,None,Protopone,Yes,40.4,48.6,Note
Protopone,magna,43781,Ponerinae,None,Protopone,Yes,40.4,48.6,Note
Protopone,oculata,43781,Ponerinae,None,Protopone,Yes,40.4,48.6,Note
Protopone,primigena,44404,Ponerinae,None,Protopone,Yes,41.3,47.8,Note
Protopone,sepulta,43781,Ponerinae,None,Protopone,Yes,40.4,48.6,Note
Protopone,vetula,43781,Ponerinae,None,Protopone,Yes,40.4,48.6,Note
Taphopone,aberrans,51861,Ponerinae,None,Taphopone,Yes,33.9,38,Note
Taphopone,karaganensis,41286,Ponerinae,None,Taphopone,Yes,11.608,15.97,Note
Taphopone,macroptera,51861,Ponerinae,None,Taphopone,Yes,33.9,38,Note
Taphopone,microptera,51861,Ponerinae,None,Taphopone,Yes,33.9,38,Note
Taphopone,petrosa,51861,Ponerinae,None,Taphopone,Yes,33.9,38,Note
Taphopone,stauropolitanus,41286,Ponerinae,None,Taphopone,Yes,11.608,15.97,Note
Bradoponera,NA,44437,Proceratiinae,None,Bradoponera,Yes,33.9,38,Note
Bradoponera,electrina,44437,Proceratiinae,None,Bradoponera,Yes,33.9,38,Note
Bradoponera,meieri,44414,Proceratiinae,None,Bradoponera,Yes,33.9,38,Note
Bradoponera,similis,44602,Proceratiinae,None,Bradoponera,Yes,33.9,38,Note
Bradoponera,wunderlichi,44437,Proceratiinae,None,Bradoponera,Yes,33.9,38,Note
Discothyrea,gigas,44527,Proceratiinae,None,Discothyrea,Yes,13.82,20.44,Note
Discothyrea,maya,44527,Proceratiinae,None,Discothyrea,Yes,15.97,23.03,Note
Proceratium,denticulatum,44629,Proceratiinae,None,Proceratium,Yes,13.82,20.44,Note
Proceratium,dominicanum,40049,Proceratiinae,None,Proceratium,Yes,13.82,20.44,Note
Proceratium,eocenicum,44602,Proceratiinae,None,Proceratium,Yes,33.9,38,Note
Proceratium,gibberum,40049,Proceratiinae,None,Proceratium,Yes,13.82,20.44,Note
Proceratium,petrosum,56094,Proceratiinae,None,Proceratium,Yes,33.9,38,Note
Proceratium,poinari,40049,Proceratiinae,None,Proceratium,Yes,13.82,20.44,Note
Pseudomyrmex,antiquus,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Pseudomyrmex,avitus,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Pseudomyrmex,baros,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Pseudomyrmex,coruscus,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Pseudomyrmex,extinctus,4971,Pseudomyrmecinae,None,Pseudomyrmex,Yes,33.9,37.2,Note
Pseudomyrmex,macrops,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Pseudomyrmex,nexilis,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Pseudomyrmex,oryctus,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Pseudomyrmex,prioris,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Pseudomyrmex,saxulum,55770,Pseudomyrmecinae,None,Pseudomyrmex,Yes,41.3,47.8,Note
Pseudomyrmex,simplex,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,0,0.0117,Note
Pseudomyrmex,succinus,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Pseudomyrmex,thecolor,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Pseudomyrmex,vicinus,44631,Pseudomyrmecinae,None,Pseudomyrmex,Yes,13.82,20.44,Note
Tetraponera,europaea,44602,Pseudomyrmecinae,None,Tetraponera,Yes,33.9,38,Note
Tetraponera,groehni,44602,Pseudomyrmecinae,None,Tetraponera,Yes,33.9,38,Note
Tetraponera,klebsi,38999,Pseudomyrmecinae,None,Tetraponera,Yes,28.4,33.9,Note
Tetraponera,lacrimarum,40999,Pseudomyrmecinae,None,Tetraponera,Yes,33.9,38,Note
Tetraponera,ocellata,44414,Pseudomyrmecinae,None,Tetraponera,Yes,33.9,38,Note
Tetraponera,oligocenica,38999,Pseudomyrmecinae,None,Tetraponera,Yes,33.9,37.2,Note
Tetraponera,simplex,44414,Pseudomyrmecinae,None,Tetraponera,Yes,33.9,38,Note
Gerontoformica,NA,58266,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,contegus,50661,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,cretacica,35083,Sphecomyrminae,None,Gerontoformica,Yes,99.6,105.3,Note
Gerontoformica,gracilis,50661,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,magnus,50661,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,maraudera,58266,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,occidentalis,44281,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,orientalis,36535,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,pilosus,50661,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,robustus,50661,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,rugosus,50661,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,spiralis,50661,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,subcuspis,50661,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Gerontoformica,tendir,50661,Sphecomyrminae,None,Gerontoformica,Yes,93.5,99.6,Note
Haidomyrmex,cerberus,39313,Sphecomyrminae,None,Haidomyrmex,Yes,93.5,99.6,Note
Haidomyrmex,scimitarus,44280,Sphecomyrminae,None,Haidomyrmex,Yes,93.5,99.6,Note
Haidomyrmex,zigrasi,44280,Sphecomyrminae,None,Haidomyrmex,Yes,93.5,99.6,Note
Haidomyrmodes,mammuthus,44281,Sphecomyrminae,None,Haidomyrmodes,Yes,99.6,105.3,Note
Haidoterminus,cippus,47973,Sphecomyrminae,None,Haidoterminus,Yes,70.6,83.5,Note
Sphecomyrminae,NA,36535,Sphecomyrminae,None,Sphecomyrminae,Yes,89.8,93.9,Note
Sphecomyrminae,canadensis,38990,Sphecomyrminae,None,Sphecomyrminae,Yes,70.6,83.5,Note
Sphecomyrminae,freyi,36535,Sphecomyrminae,None,Sphecomyrminae,Yes,89.8,93.9,Note
Sphecomyrminae,mesaki,36535,Sphecomyrminae,None,Sphecomyrminae,Yes,89.8,93.9,Note
Zigrasimecia,ferox,50003,Sphecomyrminae,None,Zigrasimecia,Yes,93.5,99.6,Note
Zigrasimecia,tonsora,47310,Sphecomyrminae,None,Zigrasimecia,Yes,93.5,99.6,Note
Baikuris,NA,48703,Sphecomyrminae,None,Baikuris,Yes,72.1,83.6,Note
Baikuris,casei,5815,Sphecomyrminae,None,Baikuris,Yes,89.8,93.9,Note
Baikuris,mandibularis,39885,Sphecomyrminae,None,Baikuris,Yes,83.6,89.8,Note
Baikuris,maximus,53728,Sphecomyrminae,None,Baikuris,Yes,99.6,105.3,Note
Baikuris,mirabilis,39885,Sphecomyrminae,None,Baikuris,Yes,83.6,89.8,Note
Ceratomyrmex,ellenbergeri,59331,Sphecomyrminae,None,Ceratomyrmex,Yes,93.5,99.6,Stem Ant
Cretomyrma,arnoldii,37059,Sphecomyrminae,None,Cretomyrma,Yes,83.6,86.3,Stem Ant
Cretomyrma,unicornis,37059,Sphecomyrminae,None,Cretomyrma,Yes,83.6,86.3,Stem Ant
Dlusskyidris,zherichini,37059,Sphecomyrminae,None,Dlusskyidris,Yes,83.6,86.3,Note
