Month, Day, Year, Hour, Minute, Second, Milliseconds, Sample Time (ms), Acc_X, Acc_Y, Acc_Z, linAcc_X, linAcc_Y, linAcc_Z, gyro_X, gyro_Y, gyro_Y, mag_X, mag_Y, mag_Z, quatI, quatJ, quatK, Lattitude, Longitude,temp,behavior
9,27,2023,12,6,55,523,20,-9.07,0.125,2.938,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.554,0.2,-0.79,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,543,20,-9.109,-0.336,3.281,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.554,0.2,-0.79,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,563,20,-9.109,-0.336,3.281,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.534,0.191,-0.809,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,583,20,-8.77,-0.527,3.547,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.534,0.191,-0.809,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,603,20,-8.848,-1.293,3.742,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.534,0.191,-0.809,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,623,20,-8.848,-1.293,3.742,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.515,0.181,-0.825,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,643,20,-8.922,-1.945,4.66,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.515,0.181,-0.825,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,663,20,-9.039,-1.484,5.195,0.074,0.098,-0.047,1000,1000,1000,31.5,-27.875,-25.25,0.515,0.181,-0.825,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,683,20,-9.039,-1.484,5.195,-0.738,0.039,1.129,1000,1000,1000,31.5,-27.875,-25.25,0.515,0.181,-0.825,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,703,20,-9.422,-1.523,6.117,-0.738,0.039,1.129,1000,1000,1000,31.5,-27.875,-25.25,0.515,0.181,-0.825,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,723,20,-9.422,-1.523,6.117,-0.738,0.039,1.129,1000,1000,1000,30.062,-29.25,-28.188,0.515,0.181,-0.825,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,743,20,-9.422,-1.523,6.117,-1.07,-0.395,2.016,1000,1000,1000,30.062,-29.25,-28.188,0.515,0.181,-0.825,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,763,20,-9.422,-1.523,6.117,-1.07,-0.395,2.016,0.676,-1.68,-0.209,30.062,-29.25,-28.188,0.515,0.181,-0.825,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,783,20,-8.461,-0.719,6.5,-1.07,-0.395,2.016,0.676,-1.68,-0.209,30.062,-29.25,-28.188,0.515,0.181,-0.825,30.511,-90.4666,81.2,FLOAT
9,27,2023,12,6,55,803,20,-8.461,-0.719,6.5,-1.07,-0.395,2.016,0.676,-1.68,-0.209,27,-29.562,-30.312,0.515,0.181,-0.825,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,823,20,-8.461,-0.719,6.5,-0.566,-0.473,0.824,0.676,-1.68,-0.209,27,-29.562,-30.312,0.515,0.181,-0.825,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,843,20,-7.965,-1.676,7.648,-0.566,-0.473,0.824,0.676,-1.68,-0.209,27,-29.562,-30.312,0.515,0.181,-0.825,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,863,20,-7.965,-1.676,7.648,-0.566,-0.473,0.824,0.691,-1.975,-0.082,27,-29.562,-30.312,0.515,0.181,-0.825,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,883,20,-7.965,-1.676,7.648,-0.566,-0.473,0.824,0.602,-2,0.012,27,-29.562,-30.312,0.515,0.181,-0.825,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,903,20,-7.965,-1.676,7.648,-0.566,-0.473,0.824,0.602,-2,0.012,27,-29.562,-30.312,0.342,0.111,-0.925,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,923,20,-7.965,-1.676,7.648,-0.566,-0.473,0.824,0.58,-2.156,-0.447,27,-29.562,-30.312,0.342,0.111,-0.925,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,943,20,-6.125,-2.98,6.688,-0.566,-0.473,0.824,0.58,-2.156,-0.447,27,-29.562,-30.312,0.342,0.111,-0.925,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,963,20,-6.125,-2.98,6.688,-0.566,-0.473,0.824,0.58,-2.156,-0.447,27,-29.562,-30.312,0.285,0.087,-0.949,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,983,20,-6.125,-2.98,6.688,-0.566,-0.473,0.824,0.352,-1.664,-0.891,27,-29.562,-30.312,0.285,0.087,-0.949,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,3,20,-6.125,-2.98,6.688,-0.566,-0.473,0.824,-0.295,-1.543,-1.342,27,-29.562,-30.312,0.285,0.087,-0.949,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,23,20,-4.672,-0.605,7.148,-0.566,-0.473,0.824,-0.295,-1.543,-1.342,27,-29.562,-30.312,0.285,0.087,-0.949,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,43,20,-4.672,-0.605,7.148,-0.141,0.559,-1.074,-0.295,-1.543,-1.342,27,-29.562,-30.312,0.285,0.087,-0.949,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,63,20,-4.672,-0.605,7.148,-0.141,0.559,-1.074,-0.295,-1.543,-1.342,27,-29.562,-30.312,0.214,0.094,-0.971,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,83,20,-4.824,-0.949,8.723,-0.141,0.559,-1.074,-0.295,-1.543,-1.342,27,-29.562,-30.312,0.214,0.094,-0.971,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,103,20,-4.824,-0.949,8.723,-0.141,0.559,-1.074,-0.295,-1.543,-1.342,27,-29.562,-30.312,0.191,0.088,-0.976,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,123,20,-4.824,-0.949,8.723,-0.141,0.559,-1.074,0.039,-1.201,-0.584,27,-29.562,-30.312,0.191,0.088,-0.976,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,143,20,-4.824,-0.949,8.723,-0.141,0.559,-1.074,-0.107,-1.014,-0.379,27,-29.562,-30.312,0.191,0.088,-0.976,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,163,20,-2.906,0.238,8.418,-0.141,0.559,-1.074,-0.107,-1.014,-0.379,27,-29.562,-30.312,0.191,0.088,-0.976,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,55,183,20,-2.906,0.238,8.418,-0.141,0.559,-1.074,-0.107,-1.014,-0.379,27,-29.562,-30.312,0.151,0.081,-0.984,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,56,203,20,-2.906,0.238,8.418,-0.141,0.559,-1.074,0.268,-0.787,1.162,27,-29.562,-30.312,0.151,0.081,-0.984,30.511,-90.4666,81.5,FLOAT
9,27,2023,12,6,56,223,20,-2.297,0.43,7.652,-0.141,0.559,-1.074,0.268,-0.787,1.162,27,-29.562,-30.312,0.151,0.081,-0.984,30.511,-90.4666,81.7,FLOAT
9,27,2023,12,6,56,243,20,-2.297,0.43,7.652,-0.141,0.559,-1.074,0.268,-0.787,1.162,27,-29.562,-30.312,0.134,0.079,-0.985,30.511,-90.4666,81.7,FLOAT
9,27,2023,12,6,56,263,20,-2.297,0.43,7.652,-0.141,0.559,-1.074,-0.385,-0.182,0.984,27,-29.562,-30.312,0.134,0.079,-0.985,30.511,-90.4666,81.7,FLOAT
9,27,2023,12,6,56,283,20,-2.297,0.43,7.652,0.309,-1.121,-0.117,-0.385,-0.182,0.984,27,-29.562,-30.312,0.134,0.079,-0.985,30.511,-90.4666,81.7,FLOAT
9,27,2023,12,6,56,303,20,-2.297,0.43,7.652,0.309,-1.121,-0.117,-0.385,-0.182,0.984,9.25,-28.562,-37.688,0.134,0.079,-0.985,30.511,-90.4666,81.7,FLOAT
9,27,2023,12,6,56,323,20,-2.906,-1.945,9.906,0.309,-1.121,-0.117,-0.385,-0.182,0.984,9.25,-28.562,-37.688,0.134,0.079,-0.985,30.511,-90.4666,81.7,FLOAT
9,27,2023,12,6,56,343,20,-2.906,-1.945,9.906,0.309,-1.121,-0.117,0.078,-0.344,0.314,9.25,-28.562,-37.688,0.134,0.079,-0.985,30.511,-90.4666,81.7,FLOAT
9,27,2023,12,6,56,363,20,-2.715,-4.129,9.484,0.309,-1.121,-0.117,0.078,-0.344,0.314,9.25,-28.562,-37.688,0.134,0.079,-0.985,30.511,-90.4666,81.7,FLOAT
9,27,2023,12,6,56,383,20,-2.715,-4.168,9.867,0.309,-1.121,-0.117,0.078,-0.344,0.314,9.25,-28.562,-37.688,0.134,0.079,-0.985,30.511,-90.4666,81.7,SWIM
9,27,2023,12,6,56,403,20,-2.715,-4.168,9.867,-0.273,-3.062,0.289,0.078,-0.344,0.314,9.25,-28.562,-37.688,0.134,0.079,-0.985,30.511,-90.4666,81.7,SWIM
9,27,2023,12,6,56,423,20,-2.715,-4.168,9.867,-0.273,-3.062,0.289,0.078,-0.344,0.314,8.562,-29.312,-34.312,0.134,0.079,-0.985,30.511,-90.4666,81.7,SWIM
9,27,2023,12,6,56,443,20,-1.758,-2.367,8.762,-0.273,-3.062,0.289,0.078,-0.344,0.314,8.562,-29.312,-34.312,0.134,0.079,-0.985,30.511,-90.4666,81.7,SWIM
9,27,2023,12,6,56,463,20,-1.758,-2.367,8.762,-0.273,-3.062,0.289,0.078,-0.344,0.314,8.562,-29.312,-34.312,0.104,0.041,-0.99,30.511,-90.4666,81.7,SWIM
9,27,2023,12,6,56,483,20,-1.949,-1.18,9.027,-0.273,-3.062,0.289,0.078,-0.344,0.314,8.562,-29.312,-34.312,0.104,0.041,-0.99,30.511,-90.4666,81.7,SWIM
9,27,2023,12,6,56,503,20,-1.492,0.66,8.836,-0.273,-3.062,0.289,0.078,-0.344,0.314,8.562,-29.312,-34.312,0.104,0.041,-0.99,30.511,-90.4666,81.7,SWIM
9,27,2023,12,6,56,523,20,-1.492,0.66,8.836,-0.273,-3.062,0.289,0.078,-0.344,0.314,8.562,-29.312,-34.312,0.098,0.027,-0.994,30.511,-90.4666,81.7,SWIM
9,27,2023,12,6,56,543,20,-1.492,0.66,8.836,-0.273,-3.062,0.289,0.078,-0.344,0.314,10,-28.625,-34.688,0.098,0.027,-0.994,30.511,-90.4666,81.7,SWIM
9,27,2023,12,6,56,563,20,-2.066,2.422,9.523,-0.273,-3.062,0.289,0.078,-0.344,0.314,10,-28.625,-34.688,0.098,0.027,-0.994,30.511,-90.4666,81.7,SWIM
9,27,2023,12,6,56,583,20,-2.066,2.422,9.523,-0.273,-3.062,0.289,-0.395,0.055,0.191,10,-28.625,-34.688,0.098,0.027,-0.994,30.511,-90.4666,81.7,SWIM
